ablation_type,ablation_details,pearson_corr,spearman_corr,pearson_delta,spearman_delta,pearson_p_value,spearman_p_value,pearson_ci_lower,pearson_ci_upper,spearman_ci_lower,spearman_ci_upper,pearson_mean_diff,spearman_mean_diff,observed_pearson_diff,observed_spearman_diff,pearson_mean_diff_boot,pearson_ci_95,pearson_p_value_boot,pearson_p_value_perm,spearman_mean_diff_boot,spearman_ci_95,spearman_p_value_boot,spearman_p_value_perm
dino_dim,dim_179,0.9581520991781118,0.9541615686336317,7.609723121371204e-05,9.700892563579977e-06,,,,,,,,,7.609723121371204e-05,9.700892563579977e-06,7.499366191636795e-05,"(np.float64(-0.00012899566639102078), np.float64(0.00029241966386383476))",0.9868,0.3497,7.925054389537512e-06,"(np.float64(-0.00020374408643757946), np.float64(0.00022163472896719817))",0.9813,0.8943
dino_dim,dim_180,0.9580082171567165,0.954126212220087,-6.77847901816575e-05,-2.5655520981104907e-05,,,,,,,,,-6.77847901816575e-05,-2.5655520981104907e-05,-6.739130613259323e-05,"(np.float64(-0.00025869858442890026), np.float64(0.0001127182106151683))",0.9956,0.3434,-2.577464712567704e-05,"(np.float64(-0.00034847415855267016), np.float64(0.0002879285051811259))",0.999,0.8272
dino_dim,dim_181,0.9580101336123961,0.9540797244834185,-6.586833450206164e-05,-7.214325764959284e-05,,,,,,,,,-6.586833450206164e-05,-7.214325764959284e-05,-6.563778830752511e-05,"(np.float64(-0.0002086527840757163), np.float64(8.26622501132617e-05))",0.9967,0.2366,-7.172968035952285e-05,"(np.float64(-0.00027874479696739007), np.float64(0.00015116393325512094))",0.9962,0.35
dino_dim,dim_182,0.9580091974234392,0.954221378568427,-6.680452345897425e-05,6.951082735895397e-05,,,,,,,,,-6.680452345897425e-05,6.951082735895397e-05,-6.64108296046478e-05,"(np.float64(-0.0002976881204209508), np.float64(0.0001632288340854131))",0.9968,0.4703,6.889229820127821e-05,"(np.float64(-0.0002530716737217087), np.float64(0.0003964404770311818))",0.9961,0.5749
dino_dim,dim_183,0.9580155341075145,0.9541639512546783,-6.0467839383626654e-05,1.2083513610261498e-05,,,,,,,,,-6.0467839383626654e-05,1.2083513610261498e-05,-5.973075566688042e-05,"(np.float64(-0.0002500755242671038), np.float64(0.00012539932529886382))",0.9917,0.4075,1.2845012310705195e-05,"(np.float64(-0.0002840792878660686), np.float64(0.0003030575575576453))",0.9941,0.9059
dino_dim,dim_184,0.9579610100556176,0.9540075905240704,-0.00011499189128050258,-0.00014427721699772356,,,,,,,,,-0.00011499189128050258,-0.00014427721699772356,-0.00011411223241674233,"(np.float64(-0.00025369889222897956), np.float64(2.4036822881933144e-05))",0.9867,0.0395,-0.0001442865335817172,"(np.float64(-0.00033006592032912676), np.float64(3.751406650136395e-05))",1.0,0.0311
dino_dim,dim_185,0.9580248901336545,0.9541291489754492,-5.1111813243576165e-05,-2.2718765618878756e-05,,,,,,,,,-5.1111813243576165e-05,-2.2718765618878756e-05,-5.179625980923224e-05,"(np.float64(-0.00022974967181993655), np.float64(0.00013244317732762808))",0.9932,0.4751,-2.3706212916920443e-05,"(np.float64(-0.000249935975213702), np.float64(0.00020181877212880302))",0.9902,0.7827
dino_dim,dim_186,0.9580301287091214,0.9540391469480691,-4.587323777671681e-05,-0.00011272079299895488,,,,,,,,,-4.587323777671681e-05,-0.00011272079299895488,-4.593167192207371e-05,"(np.float64(-0.00014948646148298662), np.float64(5.792015304652702e-05))",0.999,0.2618,-0.00011275007192714801,"(np.float64(-0.00031180878256934993), np.float64(8.05042701029219e-05))",0.9997,0.0994
dino_dim,dim_187,0.9581348314175089,0.9542067649116479,5.882947061075505e-05,5.489717057982624e-05,,,,,,,,,5.882947061075505e-05,5.489717057982624e-05,5.842881378278887e-05,"(np.float64(-6.200162317791746e-05), np.float64(0.00017894674273773783))",0.9934,0.1981,5.48390387926596e-05,"(np.float64(-0.0001262781783363498), np.float64(0.00024158020962283518))",0.9996,0.3951
dino_dim,dim_188,0.9581652876780928,0.9541899408862442,8.92857311947104e-05,3.8073145176120704e-05,,,,,,,,,8.92857311947104e-05,3.8073145176120704e-05,8.942994890169591e-05,"(np.float64(-1.1589183225207955e-06), np.float64(0.00018063270324593492))",0.9969,0.0114,3.800626781054932e-05,"(np.float64(-9.137816243013963e-05), np.float64(0.0001684158594757949))",0.9992,0.3933
dino_dim,dim_189,0.9577480690114231,0.9537185553427696,-0.0003279329354750615,-0.0004333123982984688,,,,,,,,,-0.0003279329354750615,-0.0004333123982984688,-0.00032943073763752004,"(np.float64(-0.0006801271304385826), np.float64(1.4332947923577612e-05))",0.9905,0.0172,-0.000436628749873932,"(np.float64(-0.0009432053478974095), np.float64(4.967191044409396e-05))",0.9859,0.0178
dino_dim,dim_190,0.9580912506172754,0.9542348437709793,1.5248670377276952e-05,8.297602991125252e-05,,,,,,,,,1.5248670377276952e-05,8.297602991125252e-05,1.4784829648297881e-05,"(np.float64(-0.00010138818987926567), np.float64(0.00013252944083138525))",0.9922,0.7362,8.309513791802001e-05,"(np.float64(-6.407652833847033e-05), np.float64(0.0002330709244343431))",0.9988,0.1088
dino_dim,dim_191,0.9579410596601168,0.9539346124297519,-0.00013494228678134768,-0.00021725531131622233,,,,,,,,,-0.00013494228678134768,-0.00021725531131622233,-0.00013475614277549418,"(np.float64(-0.00037595010744264024), np.float64(0.00010638610147519798))",0.9973,0.1464,-0.00021497919772930744,"(np.float64(-0.000653056286127286), np.float64(0.0002300548616750705))",0.9886,0.184
dino_dim,dim_192,0.9579557952907832,0.9541695488378531,-0.00012020665611489623,1.768109678501606e-05,,,,,,,,,-0.00012020665611489623,1.768109678501606e-05,-0.00011914189623826896,"(np.float64(-0.0003238960719592776), np.float64(8.56412902084172e-05))",0.9889,0.145,1.7613075310784365e-05,"(np.float64(-0.00022529980897337653), np.float64(0.0002719317561598865))",0.9994,0.8517
